,esn,wash_date_gp,wash_type,source_type_gp,engine_family_gp
489,902580,2020-09-01,WW,RDO,CF34-8E
490,706740,2020-03-30,WW,FDM,CF6
491,958195,2020-07-23,WW,FDM,GENX
492,193146,2020-09-02,WW,RDO,CF34
493,599270,2020-08-23,WW,FDM,LEAP
494,599363,2020-08-18,WW,FDM,LEAP
495,802646,2020-03-29,WW,FDM,CFM56
496,802879,2020-08-28,WW,RDO,CFM56-7B
497,874118,2020-08-26,WW,RDO,CFM56
498,864374,2020-08-21,WW,FDM,CFM56
499,902741,2020-09-03,WW,RDO,CF34
500,960308,2020-04-27,WW,FDM,CFM56
501,660751,2020-08-11,WW,RDO,CFM56-7B
502,894974,2020-08-24,WW,RDO,CFM56-7B
503,598297,2020-08-20,WW,FDM,LEAP
504,599312,2020-08-20,WW,RDO,LEAP-1A
505,906986,2020-09-01,WW,FDM,GE90
506,599311,2020-08-20,WW,RDO,LEAP
507,658986,2020-04-18,WW,FDM,CFM56
508,963367,2020-03-26,WW,FDM,CFM56
509,193796,2020-08-24,WW,RDO,CF34
510,804474,2020-08-12,WW,FDM,CFM56
511,963735,2020-08-31,WW,RDO,CFM56-7B
512,194214,2020-08-16,WW,RDO,CF34
513,958340,2020-07-08,WW,FDM,GENX
514,577543,2020-08-07,WW,FDM,CFM56
515,706903,2020-08-28,WW,FDM,CF6
516,960128,2020-03-27,WW,FDM,CFM56
517,962443,2020-05-13,WW,FDM,CFM56
518,907912,2020-08-28,WW,FDM,GE90
519,958170,2020-08-29,WW,FDM,GENX
520,598288,2020-08-17,WW,FDM,LEAP
521,598307,2020-08-20,WW,FDM,LEAP
522,875734,2020-08-22,WW,RDO,CFM56
523,577592,2020-03-04,WW,FDM,CFM56
524,697744,2020-08-21,WW,FDM,CFM56
525,706793,2020-07-23,WW,FDM,CF6-80C
526,956332,2020-07-26,WW,FDM,GENX
527,906871,2020-08-29,WW,FDM,GE90
528,960206,2020-05-13,WW,FDM,CFM56
529,598180,2020-08-21,WW,FDM,LEAP
530,994223,2020-07-23,WW,FDM,CF34
531,658573,2020-04-06,WW,FDM,CFM56
532,697614,2020-08-19,WW,FDM,CFM56
533,699186,2020-07-22,WW,FDM,CFM56
534,706798,2020-08-30,WW,FDM,CF6
535,862561,2020-08-24,WW,RDO,CFM56
536,962283,2020-03-05,WW,FDM,CFM56
537,598153,2020-08-18,WW,FDM,LEAP
538,598433,2020-08-26,WW,FDM,LEAP
539,658930,2020-04-28,WW,FDM,CFM56
540,862953,2020-08-28,WW,RDO,CFM56-7B
541,804638,2020-07-23,WW,FDM,CFM56
542,598132,2020-08-18,WW,FDM,LEAP
543,802287,2020-07-10,WW,FDM,CFM56
544,804601,2020-04-02,WW,FDM,CFM56
545,958280,2020-01-27,WW,FDM,GENX
546,958280,2020-07-18,WW,FDM,GENX
547,958398,2020-08-28,WW,FDM,GENX
548,994771,2020-08-24,WW,FDM,CF34
549,193807,2020-08-29,WW,RDO,CF34
550,195596,2020-08-31,WW,RDO,CF34-8C
551,599246,2020-07-11,WW,FDM,LEAP
552,849146,2020-08-16,WW,FDM,CFM56
553,958342,2020-07-08,WW,FDM,GENX
554,958366,2020-02-24,WW,FDM,GENX
555,599446,2020-08-26,WW,RDO,LEAP
556,902297,2020-08-24,WW,RDO,CF34
557,038585,2020-08-27,WW,RDO,CFM56
558,598516,2020-08-09,WW,FDM,LEAP
559,697716,2020-08-07,WW,FDM,CFM56
560,598802,2020-08-07,WW,FDM,LEAP
561,658710,2020-08-27,WW,RDO,CFM56
562,038237,2020-08-26,WW,RDO,CFM56
563,599239,2020-07-01,WW,FDM,LEAP
564,706855,2020-03-27,WW,FDM,CF6
565,424627,2020-08-21,WW,RDO,CF34
566,896695,2020-08-27,WW,RDO,CFM56
567,962426,2020-07-08,WW,FDM,CFM56
568,963878,2020-08-14,WW,FDM,CFM56
569,902528,2020-09-02,WW,RDO,CF34
570,962963,2020-02-10,WW,FDM,CFM56
571,599266,2020-08-23,WW,FDM,LEAP
572,658854,2020-03-16,WW,FDM,CFM56
573,961938,2020-04-13,WW,FDM,CFM56
574,962539,2020-09-01,WW,RDO,CFM56
575,994272,2020-06-02,WW,FDM,CF34
576,661313,2020-08-25,WW,RDO,CFM56
577,994977,2020-06-02,WW,FDM,CF34
