,esn,wash_date,wash_type,source_type,engine_family
1947,657120,2017-01-01,WW,RDO,CFM56
1948,707177,2012-05-19,WW,RDO,CF6
1949,707177,2017-02-15,WW,RDO,CF6
1950,707177,2017-08-21,WW,RDO,CF6
1951,802741,2013-09-28,WW,RDO,CFM56
1952,802741,2014-04-29,WW,RDO,CFM56
1953,804112,2010-11-12,WW,RDO,CFM56
1954,804112,2011-06-14,WW,RDO,CFM56
1955,804112,2012-07-20,WW,RDO,CFM56
1956,804112,2013-01-20,WW,RDO,CFM56
1957,804112,2013-07-29,WW,RDO,CFM56
1958,804112,2014-02-13,WW,RDO,CFM56
1959,804112,2014-08-19,WW,RDO,CFM56
1960,804112,2016-12-08,WW,RDO,CFM56
1961,862643,2016-08-11,WW,RDO,CFM56
1962,862643,2016-11-24,WW,RDO,CFM56
1963,862643,2017-02-26,WW,RDO,CFM56
1964,862643,2017-08-27,WW,RDO,CFM56
1965,697560,2010-01-27,WW,RDO,CFM56
1966,697560,2010-05-06,WW,RDO,CFM56
1967,697560,2010-08-04,WW,RDO,CFM56
1968,697560,2010-10-25,WW,RDO,CFM56
1969,697560,2011-05-03,WW,RDO,CFM56
1970,697560,2011-11-11,WW,RDO,CFM56
1971,697560,2012-02-17,WW,RDO,CFM56
1972,697560,2012-05-19,WW,RDO,CFM56
1973,697560,2012-08-17,WW,RDO,CFM56
1974,643355,2013-05-26,WW,RDO,CFM56
1975,704499,2011-07-23,WW,FDM,CF6
1976,643853,2014-08-21,WW,RDO,CFM56
1977,706930,2010-06-25,WW,RDO,CF6
1978,707193,2013-04-11,WW,RDO,CF6
1979,707193,2015-04-22,WW,FDM,CF6
1980,707193,2016-09-06,WW,RDO,CF6
1981,707193,2017-07-23,WW,RDO,CF6
1982,707193,2018-01-04,WW,RDO,CF6
1983,697988,2011-03-18,WW,RDO,CFM56
1984,962449,2016-02-09,WW,RDO,CFM56
1985,962449,2016-10-04,WW,RDO,CFM56
1986,962449,2017-07-26,WW,RDO,CFM56
1987,785763,2011-01-23,WW,RDO,CT7
1988,785763,2011-03-28,WW,RDO,CT7
1989,785763,2012-07-15,WW,RDO,CT7
1990,785763,2014-07-21,WW,RDO,CT7
1991,785763,2014-11-09,WW,RDO,CT7
1992,785763,2014-12-14,WW,RDO,CT7
1993,785763,2015-05-06,WW,RDO,CT7
