,esn,wash_date,wash_type,source_type,engine_family
268,726194,2012-07-20,WW,RDO,CFM56
269,803988,2011-06-29,WW,RDO,CFM56
270,785577,2014-09-03,WW,RDO,CT7
271,958139,2020-02-06,WW,FDM,GENX
272,893927,2011-03-26,WW,RDO,CFM56
273,577805,2011-06-16,WW,RDO,CFM56
274,702621,2013-12-12,WW,RDO,CF6
275,802288,2012-02-04,WW,RDO,CFM56
276,785458,2011-03-28,WW,RDO,CT7
277,965467,2012-10-22,WW,RDO,CF34
278,890748,2013-09-12,WW,RDO,CFM56
279,697147,2015-02-02,WW,RDO,CFM56
280,706883,2016-07-24,WW,RDO,CF6
281,569171,2014-09-13,WW,RDO,CFM56
282,706332,2011-07-22,WW,RDO,CF6
283,699551,2012-04-19,WW,RDO,CFM56
284,811127,2011-01-27,WW,RDO,CF6
285,858945,2012-06-09,WW,RDO,CFM56
286,894299,2012-05-19,WW,RDO,CFM56
287,860134,2013-04-02,WW,RDO,CFM56
288,731824,2010-10-11,WW,RDO,CFM56
289,892959,2014-07-15,WW,RDO,CFM56
290,785425,2007-12-26,WW,RDO,CT7
291,785614,2011-03-05,WW,RDO,CT7
292,860238,2016-09-12,WW,RDO,CFM56
293,894356,2013-05-14,WW,RDO,CFM56
294,785151,2009-06-17,WW,RDO,CT7
295,858137,2017-05-17,WW,RDO,CFM56
296,876604,2013-08-31,WW,RDO,CFM56
297,697503,2010-01-14,WW,RDO,CFM56
298,660433,2015-07-30,WW,RDO,CFM56
299,785793,2015-07-13,WW,RDO,CT7
300,706795,2010-10-09,WW,RDO,CF6
301,803988,2013-07-21,WW,RDO,CFM56
302,896945,2011-03-18,WW,RDO,CFM56
303,894120,2011-10-07,WW,RDO,CFM56
304,706812,2010-07-15,WW,RDO,CF6
305,658741,2016-09-22,WW,RDO,CFM56
306,785494,2011-06-10,WW,RDO,CT7
307,858600,2014-03-03,WW,RDO,CFM56
308,862598,2016-09-12,WW,RDO,CFM56
309,890237,2011-06-03,WW,RDO,CFM56
310,707113,2016-08-01,WW,RDO,CF6
311,858483,2017-11-23,WW,RDO,CFM56
312,643766,2020-07-07,WW,FDM,CFM56
313,785588,2012-04-04,WW,RDO,CT7
314,699814,2011-06-12,WW,RDO,CFM56
315,892962,2013-07-21,WW,RDO,CFM56
316,890408,2020-02-06,WW,RDO,CFM56
317,892928,2013-03-05,WW,RDO,CFM56
318,785510,2010-12-15,WW,RDO,CT7
319,569170,2014-09-13,WW,RDO,CFM56
320,785587,2011-09-07,WW,RDO,CT7
321,891345,2013-05-10,WW,RDO,CFM56
322,704766,2016-04-23,WW,RDO,CF6
323,858684,2011-09-24,WW,RDO,CFM56
324,706763,2011-06-15,WW,RDO,CF6
325,726458,2012-03-14,WW,RDO,CFM56
326,876549,2014-01-21,WW,RDO,CFM56
327,896823,2015-08-15,WW,RDO,CFM56
328,858220,2012-12-08,WW,RDO,CFM56
329,811123,2010-12-09,WW,RDO,CF6
330,704499,2011-07-22,WW,RDO,CF6
331,891345,2012-04-13,WW,RDO,CFM56
332,906217,2017-07-02,WW,RDO,GE90
333,895301,2014-10-25,WW,RDO,CFM56
334,785757,2015-07-12,WW,RDO,CT7
335,874304,2014-08-21,WW,RDO,CFM56
336,731820,2013-02-25,WW,RDO,CFM56
337,785731,2014-09-12,WW,RDO,CT7
338,893698,2012-08-07,WW,RDO,CFM56
339,860137,2014-09-04,WW,RDO,CFM56
340,895301,2013-10-01,WW,RDO,CFM56
341,702961,2011-06-06,WW,RDO,CF6
342,697960,2010-11-01,WW,RDO,CFM56
343,703139,2016-10-19,WW,RDO,CF6
344,897697,2015-03-09,WW,RDO,CFM56
345,858417,2016-01-13,WW,RDO,CFM56
346,785739,2011-12-23,WW,RDO,CT7
347,860137,2010-10-17,WW,RDO,CFM56
348,906110,2011-11-19,WW,RDO,GE90
349,906124,2017-06-01,WW,RDO,GE90
350,862459,2016-09-03,WW,RDO,CFM56
351,906247,2016-09-21,WW,RDO,GE90
352,862767,2016-12-18,WW,RDO,CFM56
353,874311,2012-03-31,WW,RDO,CFM56
354,858717,2012-11-09,WW,RDO,CFM56
355,896945,2011-09-26,WW,RDO,CFM56
356,731920,2011-08-25,WW,RDO,CFM56
357,811132,2006-11-19,WW,RDO,CF6
358,577411,2020-08-27,WW,RDO,CFM56
359,994561,2015-10-02,WW,RDO,CF34
360,906514,2017-03-01,WW,RDO,GE90
361,658743,2015-02-15,WW,RDO,CFM56
362,731405,2012-10-31,WW,RDO,CFM56
363,894753,2011-08-21,WW,RDO,CFM56
364,660103,2016-09-22,WW,RDO,CFM56
365,892959,2016-09-22,WW,RDO,CFM56
366,785425,2010-08-08,WW,RDO,CT7
367,577754,2015-01-31,WW,RDO,CFM56
368,862546,2016-12-21,WW,RDO,CFM56
369,956417,2016-11-18,WW,RDO,GENX
370,706795,2013-06-10,WW,RDO,CF6
371,658989,2016-12-30,WW,RDO,CFM56
372,874304,2015-08-30,WW,RDO,CFM56
373,961968,2014-03-29,WW,RDO,CFM56
374,892962,2011-06-29,WW,RDO,CFM56
375,706913,2020-08-28,WW,FDM,CF6
376,702717,2010-08-31,WW,RDO,CF6
377,858952,2016-04-26,WW,RDO,CFM56
378,785510,2009-12-04,WW,RDO,CT7
379,803988,2012-01-17,WW,RDO,CFM56
380,785595,2010-12-03,WW,RDO,CT7
381,896797,2014-06-26,WW,RDO,CFM56
382,575101,2011-03-09,WW,RDO,CFM56
383,731920,2017-09-22,WW,RDO,CFM56
384,906271,2017-05-06,WW,RDO,GE90
385,858684,2012-01-01,WW,RDO,CFM56
386,731405,2016-05-23,WW,RDO,CFM56
387,706153,2011-02-02,WW,RDO,CF6
388,706497,2018-04-19,WW,RDO,CF6
389,657120,2016-06-16,WW,RDO,CFM56-7B
390,877517,2010-12-06,WW,RDO,CFM56
391,906530,2014-06-19,WW,RDO,GE90
392,706497,2017-03-24,WW,RDO,CF6
393,731361,2013-11-16,WW,RDO,CFM56
394,785588,2014-11-09,WW,RDO,CT7
395,706154,2017-10-16,WW,RDO,CF6
396,874705,2011-09-26,WW,RDO,CFM56
397,892499,2011-12-19,WW,RDO,CFM56
398,785577,2011-04-01,WW,RDO,CT7
399,894611,2012-02-22,WW,RDO,CFM56
400,731805,2017-03-06,WW,RDO,CFM56
401,906247,2020-08-25,WW,RDO,GE90
402,802613,2012-11-07,WW,RDO,CFM56
403,896695,2013-12-29,WW,RDO,CFM56
404,896797,2015-09-14,WW,RDO,CFM56
405,731690,2016-05-23,WW,RDO,CFM56
406,704455,2016-01-12,WW,RDO,CF6
407,876604,2014-02-18,WW,RDO,CFM56
